Date	Total volume
7/18/2018	98
7/19/2018	136
7/20/2018	119
7/21/2018	171
7/22/2018	120
7/23/2018	145
7/24/2018	150
7/25/2018	129
7/26/2018	137
7/27/2018	147
7/28/2018	180
7/29/2018	116
7/30/2018	124
7/31/2018	137
8/1/2018	144
8/2/2018	155
8/3/2018	133
8/4/2018	160
8/5/2018	116
8/6/2018	152
8/7/2018	102
8/8/2018	103
8/9/2018	120
8/10/2018	132
8/11/2018	146
8/12/2018	129
8/13/2018	134
8/14/2018	139
8/15/2018	134
8/16/2018	149
8/17/2018	124
8/18/2018	144
8/19/2018	118
8/20/2018	147
8/21/2018	158
8/22/2018	137
8/23/2018	152
8/24/2018	132
8/25/2018	129
8/26/2018	154
8/27/2018	114
8/28/2018	129
8/29/2018	127
8/30/2018	127
8/31/2018	129
9/1/2018	148
9/2/2018	118
9/3/2018	157
9/4/2018	149
9/5/2018	130
9/6/2018	150
9/7/2018	125
9/8/2018	144
9/9/2018	114
9/10/2018	116
9/11/2018	144
9/12/2018	125
9/13/2018	135
9/14/2018	125
9/15/2018	148
9/16/2018	134
9/17/2018	165
9/18/2018	126
9/19/2018	114
9/20/2018	131
9/21/2018	137
9/22/2018	175
9/23/2018	143
9/24/2018	136
9/25/2018	144
9/26/2018	120
9/27/2018	117
9/28/2018	152
9/29/2018	153
9/30/2018	116
10/1/2018	111
10/2/2018	126
10/3/2018	159
10/4/2018	155
10/5/2018	143
10/6/2018	159
10/7/2018	117
10/8/2018	148
10/9/2018	137
10/10/2018	122
10/11/2018	141
10/12/2018	156
10/13/2018	147
10/14/2018	128
10/15/2018	117
10/16/2018	135
10/17/2018	143
10/18/2018	122
